,wine_name_accuracy_average,bottle_price_accuracy_average,case_price_accuracy_average,error_rate
11,0.439468123,0.013888889,0,0.151119004
69,0.340367335,0,0.028125,0.122830778
237,0.29088747,0.03,0.078,0.13296249
407,0.071942957,0,0,0.023980986
550,0.144564612,0,0.013157895,0.052574169
551,0.048270812,0,0.03125,0.026506937
558,0.13197677,0.078571429,0.091428571,0.100658923
644,0.349245763,0,0.047619048,0.13228827
869,0.176898668,0,0,0.058966223
2940,0.368639771,0.111111111,0.222222222,0.233991035
3372,0.020965886,0,0.003125,0.008030295
3405,0.309378873,0.211538462,0.25,0.256972445
3479,0.680982239,0.16875,0.2425,0.364077413
3794,0.441113766,0,0.066666667,0.169260144
4086,0.158248699,0,0.512820513,0.223689737
,0.26486345,0.040923993,0.105794328,0.137193923
